index,Test_Time,Step_Time(s),Cycle_Index,Step_Index,Voltage,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Current,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Charge_Capacity,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Discharge_Capacity
0,120.0011,120.001,1,1,3.57555961608887,120.0011,120.001,1,1,0,120.0011,120.001,1,1,0,120.0011,120.001,1,1,0
1,240.004,240.0039,1,1,3.57551193237305,240.004,240.0039,1,1,0,240.004,240.0039,1,1,0,240.004,240.0039,1,1,0
2,360.0023,360.0022,1,1,3.57726287841797,360.0023,360.0022,1,1,0,360.0023,360.0022,1,1,0,360.0023,360.0022,1,1,0
3,480.0049,480.0048,1,1,3.57895946502686,480.0049,480.0048,1,1,0,480.0049,480.0048,1,1,0,480.0049,480.0048,1,1,0
4,600.0058,600.0057,1,1,3.57965850830078,600.0058,600.0057,1,1,0,600.0058,600.0057,1,1,0,600.0058,600.0057,1,1,0
5,720.0001,720,1,1,3.57981586456299,720.0001,720,1,1,0,720.0001,720,1,1,0,720.0001,720,1,1,0
6,840.0026,840.0025,1,1,3.57951354980469,840.0026,840.0025,1,1,0,840.0026,840.0025,1,1,0,840.0026,840.0025,1,1,0
7,960.0011,960.001,1,1,3.57906627655029,960.0011,960.001,1,1,0,960.0011,960.001,1,1,0,960.0011,960.001,1,1,0
8,1080.0053,1080.0052,1,1,3.5786247253418,1080.0053,1080.0052,1,1,0,1080.0053,1080.0052,1,1,0,1080.0053,1080.0052,1,1,0
9,1200.0034,1200.0033,1,1,3.57810211181641,1200.0034,1200.0033,1,1,0,1200.0034,1200.0033,1,1,0,1200.0034,1200.0033,1,1,0
10,1320.0054,1320.0053,1,1,3.57784366607666,1320.0054,1320.0053,1,1,0,1320.0054,1320.0053,1,1,0,1320.0054,1320.0053,1,1,0
11,1440.0021,1440.002,1,1,3.57782459259033,1440.0021,1440.002,1,1,0,1440.0021,1440.002,1,1,0,1440.0021,1440.002,1,1,0
12,1560.0032,1560.0031,1,1,3.57787799835205,1560.0032,1560.0031,1,1,0,1560.0032,1560.0031,1,1,0,1560.0032,1560.0031,1,1,0
13,1680.0042,1680.0041,1,1,3.57796478271484,1680.0042,1680.0041,1,1,0,1680.0042,1680.0041,1,1,0,1680.0042,1680.0041,1,1,0
14,1800.0031,1800.003,1,1,3.57784843444824,1800.0031,1800.003,1,1,0,1800.0031,1800.003,1,1,0,1800.0031,1800.003,1,1,0
15,1920.0022,1920.0021,1,1,3.57793807983398,1920.0022,1920.0021,1,1,0,1920.0022,1920.0021,1,1,0,1920.0022,1920.0021,1,1,0
16,2040.0019,2040.0018,1,1,3.5779504776001,2040.0019,2040.0018,1,1,0,2040.0019,2040.0018,1,1,0,2040.0019,2040.0018,1,1,0
17,2160.002,2160.0019,1,1,3.57787609100342,2160.002,2160.0019,1,1,0,2160.002,2160.0019,1,1,0,2160.002,2160.0019,1,1,0
18,2280.0046,2280.0045,1,1,3.57789039611816,2280.0046,2280.0045,1,1,0,2280.0046,2280.0045,1,1,0,2280.0046,2280.0045,1,1,0
19,2400.0032,2400.0031,1,1,3.57791614532471,2400.0032,2400.0031,1,1,0,2400.0032,2400.0031,1,1,0,2400.0032,2400.0031,1,1,0
20,2520.0034,2520.0033,1,1,3.57794666290283,2520.0034,2520.0033,1,1,0,2520.0034,2520.0033,1,1,0,2520.0034,2520.0033,1,1,0
21,2640.0006,2640.0005,1,1,3.57797718048096,2640.0006,2640.0005,1,1,0,2640.0006,2640.0005,1,1,0,2640.0006,2640.0005,1,1,0
22,2760.0002,2760.0001,1,1,3.57787799835205,2760.0002,2760.0001,1,1,0,2760.0002,2760.0001,1,1,0,2760.0002,2760.0001,1,1,0
23,2880.0059,2880.0058,1,1,3.57797527313232,2880.0059,2880.0058,1,1,0,2880.0059,2880.0058,1,1,0,2880.0059,2880.0058,1,1,0
24,3000.0034,3000.0033,1,1,3.57802867889404,3000.0034,3000.0033,1,1,0,3000.0034,3000.0033,1,1,0,3000.0034,3000.0033,1,1,0
25,3120.0054,3120.0053,1,1,3.57794857025146,3120.0054,3120.0053,1,1,0,3120.0054,3120.0053,1,1,0,3120.0054,3120.0053,1,1,0
26,3240.0002,3240.0001,1,1,3.5779447555542,3240.0002,3240.0001,1,1,0,3240.0002,3240.0001,1,1,0,3240.0002,3240.0001,1,1,0
27,3360.0007,3360.0006,1,1,3.57793712615967,3360.0007,3360.0006,1,1,0,3360.0007,3360.0006,1,1,0,3360.0007,3360.0006,1,1,0
28,3480.0008,3480.0007,1,1,3.57800483703613,3480.0008,3480.0007,1,1,0,3480.0008,3480.0007,1,1,0,3480.0008,3480.0007,1,1,0
29,3600.0029,3600.0028,1,1,3.57811164855957,3600.0029,3600.0028,1,1,0,3600.0029,3600.0028,1,1,0,3600.0029,3600.0028,1,1,0
30,3600.0034,3600.0033,1,1,3.57811164855957,3600.0034,3600.0033,1,1,0,3600.0034,3600.0033,1,1,0,3600.0034,3600.0033,1,1,0
