index,Test_Time(s),,Step_Time(s),Cycle_Index,Step_Index,Voltage,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Current,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Charge_Capacity,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Discharge_Capacity,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index
0,120.0021,,120.002,1,1,3.57828855514526,120.0021,120.002,1,1,0,120.0021,120.002,1,1,0,120.0021,120.002,1,1,0,120.0021,120.002,1,1
1,240.0042,,240.0041,1,1,3.57840013504028,240.0042,240.0041,1,1,0,240.0042,240.0041,1,1,0,240.0042,240.0041,1,1,0,240.0042,240.0041,1,1
2,360.0033,,360.0032,1,1,3.58004140853882,360.0033,360.0032,1,1,0,360.0033,360.0032,1,1,0,360.0033,360.0032,1,1,0,360.0033,360.0032,1,1
3,480.0056,,480.0055,1,1,3.58167505264282,480.0056,480.0055,1,1,0,480.0056,480.0055,1,1,0,480.0056,480.0055,1,1,0,480.0056,480.0055,1,1
4,600.0009,,600.0008,1,1,3.58243417739868,600.0009,600.0008,1,1,0,600.0009,600.0008,1,1,0,600.0009,600.0008,1,1,0,600.0009,600.0008,1,1
5,720.0058,,720.0057,1,1,3.5826563835144,720.0058,720.0057,1,1,0,720.0058,720.0057,1,1,0,720.0058,720.0057,1,1,0,720.0058,720.0057,1,1
6,840.0036,,840.0035,1,1,3.5824408531189,840.0036,840.0035,1,1,0,840.0036,840.0035,1,1,0,840.0036,840.0035,1,1,0,840.0036,840.0035,1,1
7,960.002,,960.0019,1,1,3.58190202713013,960.002,960.0019,1,1,0,960.002,960.0019,1,1,0,960.002,960.0019,1,1,0,960.002,960.0019,1,1
8,1080.0004,,1080.0003,1,1,3.58141565322876,1080.0004,1080.0003,1,1,0,1080.0004,1080.0003,1,1,0,1080.0004,1080.0003,1,1,0,1080.0004,1080.0003,1,1
9,1200.0033,,1200.0032,1,1,3.5810694694519,1200.0033,1200.0032,1,1,0,1200.0033,1200.0032,1,1,0,1200.0033,1200.0032,1,1,0,1200.0033,1200.0032,1,1
10,1320.0005,,1320.0004,1,1,3.58069467544556,1320.0005,1320.0004,1,1,0,1320.0005,1320.0004,1,1,0,1320.0005,1320.0004,1,1,0,1320.0005,1320.0004,1,1
11,1440.0029,,1440.0028,1,1,3.58075094223022,1440.0029,1440.0028,1,1,0,1440.0029,1440.0028,1,1,0,1440.0029,1440.0028,1,1,0,1440.0029,1440.0028,1,1
