index,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Voltage,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Current,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Charge_Capacity,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Discharge_Capacity
0,120.0046,120.0046,1,1,3.56483364105225,120.0046,120.0046,1,1,0,120.0046,120.0046,1,1,0,120.0046,120.0046,1,1,0
1,240.0002,240.0002,1,1,3.56493091583252,240.0002,240.0002,1,1,0,240.0002,240.0002,1,1,0,240.0002,240.0002,1,1,0
2,360.0007,360.0007,1,1,3.56661605834961,360.0007,360.0007,1,1,0,360.0007,360.0007,1,1,0,360.0007,360.0007,1,1,0
3,480.0019,480.0019,1,1,3.56821060180664,480.0019,480.0019,1,1,0,480.0019,480.0019,1,1,0,480.0019,480.0019,1,1,0
4,600.0033,600.0033,1,1,3.56914234161377,600.0033,600.0033,1,1,0,600.0033,600.0033,1,1,0,600.0033,600.0033,1,1,0
5,720.0021,720.0021,1,1,3.56932353973389,720.0021,720.0021,1,1,0,720.0021,720.0021,1,1,0,720.0021,720.0021,1,1,0
6,840,840,1,1,3.56919384002686,840,840,1,1,0,840,840,1,1,0,840,840,1,1,0
7,960.0035,960.0035,1,1,3.56872749328613,960.0035,960.0035,1,1,0,960.0035,960.0035,1,1,0,960.0035,960.0035,1,1,0
8,1080.0028,1080.0028,1,1,3.56831932067871,1080.0028,1080.0028,1,1,0,1080.0028,1080.0028,1,1,0,1080.0028,1080.0028,1,1,0
9,1200.0009,1200.0009,1,1,3.56778621673584,1200.0009,1200.0009,1,1,0,1200.0009,1200.0009,1,1,0,1200.0009,1200.0009,1,1,0
10,1320.0017,1320.0017,1,1,3.56753253936768,1320.0017,1320.0017,1,1,0,1320.0017,1320.0017,1,1,0,1320.0017,1320.0017,1,1,0
11,1440.0044,1440.0044,1,1,3.56752014160156,1440.0044,1440.0044,1,1,0,1440.0044,1440.0044,1,1,0,1440.0044,1440.0044,1,1,0
12,1560.0003,1560.0003,1,1,3.56765365600586,1560.0003,1560.0003,1,1,0,1560.0003,1560.0003,1,1,0,1560.0003,1560.0003,1,1,0
13,1680.0019,1680.0019,1,1,3.56760787963867,1680.0019,1680.0019,1,1,0,1680.0019,1680.0019,1,1,0,1680.0019,1680.0019,1,1,0
14,1800.0007,1800.0007,1,1,3.56770515441895,1800.0007,1800.0007,1,1,0,1800.0007,1800.0007,1,1,0,1800.0007,1800.0007,1,1,0
15,1920.0046,1920.0046,1,1,3.56747436523437,1920.0046,1920.0046,1,1,0,1920.0046,1920.0046,1,1,0,1920.0046,1920.0046,1,1,0
16,2040.0049,2040.0049,1,1,3.56752967834473,2040.0049,2040.0049,1,1,0,2040.0049,2040.0049,1,1,0,2040.0049,2040.0049,1,1,0
17,2160.0043,2160.0043,1,1,3.5674409866333,2160.0043,2160.0043,1,1,0,2160.0043,2160.0043,1,1,0,2160.0043,2160.0043,1,1,0
18,2280.002,2280.002,1,1,3.5676097869873,2280.002,2280.002,1,1,0,2280.002,2280.002,1,1,0,2280.002,2280.002,1,1,0
19,2400.0003,2400.0003,1,1,3.56766319274902,2400.0003,2400.0003,1,1,0,2400.0003,2400.0003,1,1,0,2400.0003,2400.0003,1,1,0
20,2520.0009,2520.0009,1,1,3.56760311126709,2520.0009,2520.0009,1,1,0,2520.0009,2520.0009,1,1,0,2520.0009,2520.0009,1,1,0
21,2640.0027,2640.0027,1,1,3.56761932373047,2640.0027,2640.0027,1,1,0,2640.0027,2640.0027,1,1,0,2640.0027,2640.0027,1,1,0
22,2760.0026,2760.0026,1,1,3.56758213043213,2760.0026,2760.0026,1,1,0,2760.0026,2760.0026,1,1,0,2760.0026,2760.0026,1,1,0
23,2880.0033,2880.0033,1,1,3.56762409210205,2880.0033,2880.0033,1,1,0,2880.0033,2880.0033,1,1,0,2880.0033,2880.0033,1,1,0
24,3000.0011,3000.0011,1,1,3.56767654418945,3000.0011,3000.0011,1,1,0,3000.0011,3000.0011,1,1,0,3000.0011,3000.0011,1,1,0
25,3120.0029,3120.0029,1,1,3.56768608093262,3120.0029,3120.0029,1,1,0,3120.0029,3120.0029,1,1,0,3120.0029,3120.0029,1,1,0
